Course Code,Course Name,Level,Term,Description,Prerequisites,Restrictions,Corequisites
ECON 606,Corporate Finance Theory,606,"Fall, Spring","Corporate Finance Theory Capital structure decisions, dividend policy, security design and voting rights, corporate governance and the market for corporate control, optimal financial contracting, internal organization of the firm, and managerial reputation. Şirket Finansmanı Teorisi Sermaye yapısı kararları, temettü politikası, mali araç tasarımı ve seçme hakları, şirket yönetimi ve şirket kontrol piyasası, optimal finans sözleşmesi tasarımı, şirketlerin iç organizasyonu, yönetimsel şöhret. 3.000",,,
ECON 607,Game Theory,607,"Fall, Spring",Game Theory Topics in cooperative and non-cooperative game theory as a continuation of topics in game theory covered in ECON 502 Oyun Teorisi Econ 502 dersindeki oyun teorisinin devami olarak işbirlikçi ve işbirlikçi olmayan oyun teorisi başlıkları. 3.000,Doctorate level MATH 571 Minimum Grade of D or Masters level MATH 571 Minimum Grade of D,,
ECON 608,Seminar in Mechanism and Market Design,608,"Fall, Spring","Seminar in Mechanism and Market Design Theory and applications: auctions, double auctions matching mechanisms, price formation procedures. Mekanizma ve Piyasa Tasarımı Semineri Teori ve uygulamalar: ihaleler, çifte açık arttırım, eşleştirme mekanizmaları, fiyat oluşturma prosedürleri. 3.000",Doctorate level MATH 571 Minimum Grade of D or Masters level MATH 571 Minimum Grade of D,,
ECON 609,Financial Economics,609,"Fall, Spring","Financial Economics Choice under uncertainty, stochastic dominance, Arrow-Debreu model of complete markets, portfolio choice, mutual fund separation theorems Capital Asset Pricing Model (CAPM), Arbitrage Pricing Theory (APT). Finansal Ekonomi Belirsizlik ortamında seçim, rassal baskınlık, Arrow- Debreu tam piyasa modeli, portföy seçimi, ortak fon ayrışma teorileri, sermaye varlıkları fiyatlandırma modeli, arbitraj fiyatlandırma teorisi. 3.000",,,
ECON 610,Competition and Regulation,610,"Fall, Spring",Competition and Regulation Competition law and policy in Türkiye and the European Union; agreements and concerted practices; vertical restraints; abuse of dominant position; competition and regulation in the telecommunications and energy industries: privatization and liberalization; universal services; models and contracts that encourage public-private partnerships in investments Rekabet ve Düzenleme Türkiye ve Avrupa Birliği'nde rekabet hukuku ve politikaları; anlaşmalar ve uyumlu eylem; dikey sınırlamalar; hakim durumun kötüye kullanılması; enerji ve telekomünikasyon sanayilerinde rekabet ve düzenlemeler; özelleştirme ve serbestleştirme; evrensel hizmetler; yatırımlarda kamu-özel işbirliğini özendiren modeller ve sözleşme türleri. 3.000,,,
ECON 611,Advanced Emerging Markets Macroeconomics,611,"Fall, Spring","Advanced Emerging Markets Macroeconomics Topics in open monetary macroeconomics, including IS-LM-BP, inflation tax and seignorage, exchange rate based stabilzation programs, and balance of payments crises. Gelişmekte Olan Ülke Makroekonomisi Açık ekonomi parasal makroekonomide değişik konuları, IS-LM-BP, analizi, enflasyon vergisi ve ""seignorage"" kur çıpasına dayalı stabilizasyon programları ve ödemeler dengesi krizlerinin analizi. 3.000",(Doctorate level ECON 506 Minimum Grade of D or Masters level ECON 506 Minimum Grade of D) and (Doctorate level MATH 571 Minimum Grade of D or Masters level MATH 571 Minimum Grade of D),,
ECON 612,International Trade and Industry Dynamics,612,"Fall, Spring","International Trade and Industry Dynamics This course develops the core models that underlie modern trade theory and examines their empirical relevance. It then focuses on productivity measurement, entry-exit of firms and industry dynamics, followed by the effect of international trade on firm dynamics. Uluslararası Ticaret ve Endüstri Dinamikleri Bu ders modern ticaret teorisinin temellerini oluşturan ana modelleri incelemekte ve bu modellerin ampirik geçerliliğini sorgulamaktadır. Verimlilik hesaplamaları, firmaların markete giriş ve çıkış kararları ve endüstri dinamikleri konularını ele alındıktan sonra özellikle uluslararası ticaretin firma verimliliği ve endüstri dinamikleri üzerine olan etkisi incelenmektedir. 3.000",(Doctorate level ECON 506 Minimum Grade of D or Masters level ECON 506 Minimum Grade of D) and (Doctorate level MATH 571 Minimum Grade of D or Masters level MATH 571 Minimum Grade of D),,
ECON 624,Welfare Economics,624,"Fall, Spring","Welfare Economics Competitive price mechanism and its welfare properties. Economic justice; public goods; social welfare functions; Arrow's impossibility theorem; Sen's liberal paradox; voting and aggregation rules. Applications and discussion topics include privatization and allocation of resources for national defense. Refah ve Ekonomi Rekabetçi fiyat düzeninin işleyişi ve toplumsal refah özellikleri. Ekonomik adalet; kamusal mallar; toplumsal refah fonksiyonları; Arrow'un olanaksızlık teoremi; Sen'in Liberal paradoksu; oylama ve tercih toplama kuralları. Uygulama ve tartışma konu örnekleri: özelleştirme, savunma amaçlı harcanan ulusal kaynak miktarı. 3.000",(Doctorate level ECON 506 Minimum Grade of D or Masters level ECON 506 Minimum Grade of D) and (Doctorate level MATH 571 Minimum Grade of D or Masters level MATH 571 Minimum Grade of D),,
ECON 630,Advanced Labor Economics,630,"Fall, Spring","Advanced Labor Economics This course covers economic theory and econometric analysis of labor market outcomes. The topics in the course include labor demand, labor supply, labor market equilibrium, human capital, screening and signaling investments, migration, and intergenerational mobility. Through these topics the course aims to introduce students to several of the most important theoretical and empirical methods in the field. İleri Düzey Çalışma Ekonomisi Bu ders kapsamında ekonomi teorileri ve ekonometrik analizler yoluyla işgücü piyasasının işleyişi ve bu piyasada ortaya çıkan sonuçlar incelenir. Ele alınacak konular arasında iş gücü arzı, iş gücüne talep, piyasada oluşan denge, beşeri sermaye yatırımları, sinyal ve eleme aracı olarak yatırımlar, göç ve nesiller arası hareketlilik yer almaktadır. Bu konular aracılığıyla öğrencilerin çalışma ekonomisi alanındaki en önemli teorik ve uygulamalı metotları öğrenmesi hedeflenmektedir. 3.000",,,
ECON 635,Discrete Choice Methods,635,"Fall, Spring","Discrete Choice Methods Discrete choice modeling is a framework for understanding how individuals (consumers, travelers, voters, etc.) make selections from a finite set of alternatives. Grounded in utility theory, these models help quantify and predict which option a decision-maker is most likely to choose based on attributes of both the alternatives and the decision-maker. By capturing the trade-offs individuals make—such as cost versus quality or convenience versus time—discrete choice models become foundational tools for analyzing and forecasting human behavior within contexts of competing options. This is a hands-on course designed to provide students with practical experience in discrete choice modeling. Students will gain familiarity with foundational tools for discrete choice analysis and learn to estimate discrete choice models using real data. The course emphasizes active learning through guided practice and real-world examples. Kesikli Tercih Yöntemleri Kesikli tercih modellemesi, bireylerin (tüketiciler, yolcular, seçmenler vb.) sonlu sayıda alternatif arasından nasıl seçim yaptığını anlamaya yönelik bir çerçevedir. Fayda teorisine dayanan bu modeller, karar alıcıların alternatiflerin ve kendi özelliklerinin etkisiyle hangi seçeneği tercih etmeye daha yatkın olduğunu ölçmeye ve öngörmeye yardımcı olur. Bireylerin yaptıkları maliyet-kalite ya da rahatlık-zaman gibi ödünleşimleri yakalayarak kesikli tercih modelleri, rekabet halindeki seçenekler bağlamında insan davranışlarını analiz etmek ve tahmin etmek için temel araçlar haline gelmişlerdir. Bu ders, kesikli seçim modellemesi konusunda uygulamaya yönelik pratik bir eğitim sunmaktadır. Öğrenciler, kesikli seçim analizi için temel araçları tanıyacak ve gerçek veri kullanarak kesikli seçim modellerini tahmin etmeyi öğreneceklerdir. Ders, rehber eşliğinde uygulamalar ve gerçek hayattan örneklerle aktif öğrenmeyi teşvik etmektedir 3.000",,,
ECON 688,Matchings and Markets,688,"Fall, Spring","Matchings and Markets Game theoretic analysis of the matching of individuals with other individuals or items, typically across two sides, as in marriage, university placement, employment, housing. Competitive cooperative solutions: existence, optimality order structures, constructive procedures; strategic properties; auctions, mechanisms; institution and market design. Eşleşme ve Piyasalar Kişilerin diğer kişiler veya birimlerle eşleşmesinin oyun kuramsal analizi; örnekler: evlilik, üniversite yerleştirme, istihdam, emlak piyasası. Rekabetçi işbirlikçi çözümler: varlık, çıkar sıralanmaları, çözüme varan usuller; stratejik özellikler; ihaleler, mekanizmalar; kurum ve piyasa tasarımı. 3.000",,,
ECON 691,Seminar III,691,"Fall, Spring","Seminar III Seminars, paper presentations and guided study to develop a thesis or project . Seminer III Tez veya proje araştırma programı geliştirilmesine yardımcı olacak çalışmalar, seminerler ve makale sunumları gibi etkinlikler. 0.000",,,
ECON 692,Seminar IV,692,"Fall, Spring",Seminar IV Students present their work on Master thesis or project and participate to economics seminars by invited scholars. Seminer IV Tez ve proje çalışmalarının sunulduğu seminerler ve ekonomi seminerleri. 0.000,,,
ECON 697,Term Project,697,"Fall, Spring",Term Project Students taking this course are expected to write a research paper on a topic agreed upon by a Faculty member. Dönem Projesi Öğrencilerden üzerinde anlaşmaya varılan bir konuda bir araştırma makalesi yazmaları beklenir. 0.000,,Must be enrolled in one of the following Programs: MA-Economics-Non Thesis,
ECON 699,Master Thesis,699,"Fall, Spring","Master Thesis Provides a non-credit framework for the continuous monitoring and collegial discussion of MA students' thesis research and writing, which they are expected to accomplish under the supervision of a Faculty member from the relevant field over the second year of their course-work. Yüksek Lisans Tezi Bu kredisiz ders, Yüksek Lisans öğrencilerinin, bir öğretim üyesinin danışmanlığında, ders ve seminer çalışmalarının ikinci yılında gerçekleştirmeleri beklenen tez araştırma ve yazma süreçlerinin sürekli denetimi ve meslekdaşlar arasında tartışılması için elverişli bir çerçeve oluşturmaktadır. 0.000",,Must be enrolled in one of the following Programs: MA-Economics,
ECON 700,PhD Pro-Seminar,700,"Fall, Spring","PhD Pro-Seminar Initiates the student to PhD dissertation work, master research methods and develop research skills under the guidance of thesis advisor. Production of an original research paper and its presentation in a program seminar. Doktora Ön-Semineri Tez danışmanı rehberliğinde doktora tez çalışmasını başlatmaya, araştırma yöntemlerine hakimiyeti ve özgün araştırma yeteneğini geliştirmeye yönelik çalışmalar; bir araştırma makalesi yazılması ve program seminerinde başarı ile sunulması. 0.000",,Must be enrolled in one of the following Programs: PHDECON after UG PHD-Economics,
ECON 701,Mathematical Economics,701,"Fall, Spring","Mathematical Economics Mathematical foundations of advanced economic theory, topology, linear and concave programming and applications, fixed point theorems and applications. Equilibrium analysis, existence, uniqueness and stability. Dynamic analysis and the theory of optimal control. Matematiksel Ekonomi Ekonomi kuramının ileri matematik temelleri, topoloji, lineer ve içbükey programlama, sabit nokta teoremleri ve uygulamaları. Denge analizi, varlık, teklik ve kararlılık incelemesi. Dinamik modelleme ve optimal kontrol kuramı. 3.000",,,
ECON 704,Theory of Incentives and its Applications,704,"Fall, Spring","Theory of Incentives and its Applications Analysis of principal-agent models, control mechanisms in hierarchies, collusion and its prevention. Game-theoretic approaches to incentive problems with applications to industrial organization and regulation. Teşvik Kuramı ve uygulamaları Asil-vekil modelleri, hiyerarşilerde kontrol mekanizmaları, gizli işbirliği çeşitleri ve önlenmesi, oyun teorisi yaklaşımları, Endüstriyel organizasyon uygulamaları. 3.000",,,
ECON 705,Research in Game Theory-I,705,"Fall, Spring","Research in Game Theory-I Advanced topics in noncooperative game theory, repeated games, asymptotic games, atomic games. Analysis and application of equilibrium concepts for noncooperative games. Evolutionary game theory. Analysis of latest developments in the field. Oyun Teorisi Araştırmaları-I Tekrarlı Oyunlar teorisi, işbirlikçi olmayan denge kavramları, asimtotik oyunlar, atomik oyunlar, evrimsel oyun teorisi. 3.000",,,
ECON 706,Research in Game Theory-II,706,"Fall, Spring","Research in Game Theory-II Topics in cooperative game theory. Solution concepts, their properties and applications. Analysis of latest developments in the field Oyun Teorisi Araştırmaları-II Işbirlikçi oyun teorisi kavramları ve uygulamaları; alandaki son gelişmeler. 3.000",,,
ECON 711,Dynamic Macroeconomic Modeling and its Applications,711,"Fall, Spring","Dynamic Macroeconomic Modeling and its Applications Dynamic sectoral equilibrium models, dynamic labor market search and matching models, heterogeneous agents models of financial markets, political equilibria and voting models. Dinamik Makroekonomik Modelleme ve Uygulamaları Sektörel denge ve dinamiği modelleri, emek piyasası dinamik arama ve eşleme modelleri, mali piyasalarda heterojen ajan modelleri, politik denge ve oylama modelleri. 3.000",,,
ECON 712,Theory of Economic Growth and Development,712,"Fall, Spring","Theory of Economic Growth and Development Endogenous growth models, innovation and imitation models, impact of labor and financial markets on economic growth, open-economy growth models and the impacts of international trade and finance on economic growth. Ekonomik Büyüme ve Gelişme Teorisi Endojen büyüme modelleri, innovasyon ve taklit modelleri, emek ve mali piyasaların işleyişinin büyümeye etkileri, uluslararası ticaret ve finansın büyümeye etkileri. 3.000",,,
ECON 731,Advanced Econometrics,731,"Fall, Spring","Advanced Econometrics Latest developments and approaches in econometric theory and its applications. İleri Ekonometri Ekonometri kuramı ve uygulamasında ileri teknikler, yeni yaklaşımlar ve son gelişmeler. 3.000",,,
ECON 756,Advanced Law and Economics,756,"Fall, Spring","Advanced Law and Economics Extensions of economic theory to study criminal, tort, family, property and contract laws. Economic analysis and modeling of various legal issues with applications. İleri Hukuk ve Ekonomi Ekonomi teorisinin suç, ceza, borçlar, aile, mülkiyet ve kontrat hukukuna uygulamaları, ileri ekonomi kuramı yöntem ve temel ilkeleri ile hukuksal sorunların modellenmesi ve analizi, ceza muhakemeleri usullerine uygulamalar. 3.000",,,
ECON 799,PhD Dissertation,799,"Fall, Spring",PhD Dissertation Process of research and writing of the PhD dissertation under the guidance of the thesis advisor and dissertation committee members. Doktora Tezi Tez danışmanı ve jürisinin rehberliğinde doktora tez araştırma ve yazma süreci. 0.000,,Must be enrolled in one of the following Programs: PHDECON after UG PHD-Economics,
EE 200,Electronic Circuit Implementations,200,"Fall, Spring","Electronic Circuit Implementations In the first module, Basic Circuit Experiments such as Thevenin Equivalent Circuits, RC and RL first order circuits, Resonance Circuits/Higher order filters, Operational Amplifier Circuit, and basic radio circuit with the use of opamp, diode and RLC circuits. In the second module, DC, small-signal and frequency models of semiconductor devices such as PN diodes, BJT and MOSFETs will be included. Using these models, different circuit implementation will be executed, such as Wave Shaping Circuits (with diodes, op-amps, passives and integral/differentiator circuits), Different Configuration of Single/Multi Stage Amplifiers (CE, CC, DB, and combination of these as multistage amp., CS, CD, CG, and combinations), Oscillators (with BJTs and feedback concepts), etc. Analytical design methodologies, along with CAD tools (such as PSPICE), will also be part of the course for designing and implementing circuits. Elektronik Devre Uygulamaları Bu ders kapsamında, elektronik devrelerin performans ölçümlerinin gerçeklenebileceği cihazların öğrenilmesi ve kullanımı, devre teorileri, Thevenin/Norton devrelerinin uygulamaları, RC, RL ve RLC devrelerinin filter ve rezonans devre uygulamaları ve Operasyonel Yükseltici devrelerinin farklı uygulamaları örnekleri, dersin 1. Öğrenme modülünü oluşturacaktır. Dersin 2. modülünde ise, yarıiletken devre uygulamaları gerçeklenecektir. BJT ve MOSFET transistörlerin ve PN diyodların DC, küçük sinyal ve frekans modellerinin uygulamalarını içeren farklı devrelerin uygulamaları gerçeklenecektir. Bu devreler, tek ve çok katlı yükselteç, osilatör, integral ve fark alıcı devreler ve geri besleme devre ve sinyal şekillendirici/kırpıcı devre uygulamalarını içermektedir. Ayrıca, yarıiletken devreler, RLC ve operasyonel yükselteçleri ile sistem uygulamaları (sinyal üreteç ve radyo gibi) gerçeklenecektir. Bilgisayar destekli devre tasarım örnekleri PSPICE yazılımı kullanılarak gerçekelenecektir. Teorik yaklaşımlar ile devre tasarlama (özellikleri bilinen bir devre), tasarlanan devrenin özelliklerin simülasyon ile doğrulama ve devrenin uygulanması (lab) adımlarından oluşan aşamaların farklı devre ve sistem örneklemeleri ile gerçeklenmeside bu ders kapsamında gerçeklenecektir. 2.000",Undergraduate level ENS 203 Minimum Grade of D,,EE 202 Prerequisites: Undergraduate level ENS 203 Minimum Grade of D
EE 202,Electronic Circuits II,202,"Fall, Spring","Electronic Circuits II Concepts of basic semiconductor devices (PN junctions, MOSFETs and BJTs);design of DC bias circuits; DC/AC models of semiconductor devices; Frequency response, small/large-signal analysis of devices/circuits;single-stage, multistage and differential amplifiers; feedback and stability concepts in amplifiers; the use of CAD tools (e.g., Multisim/Pspice) in circuit design and analysis;the use of lab tools/equipments for designing and testing of dc operating points and frequency response of devices, single-and multistage amplifiers. Elektronik Devreler II Temel yarı-iletken devrelerinin (PN diyod, MOSFET ve BJT) çalışma prensipleri;Dogru akım (DC) besleme devreleri; yarı-iletken devrelerin DC / AC modelleri;Frekans tepkimeleri, devrelerin dorusal/dogrusal olmayan karakteristikleri; tek/çok katlı ve fark yükselteçleri, devrelerde geri-besleme ve kararlılık analizi; Multisim/Pspice yazılımının, devre tasarım ve analizinde kullanımı; Laboratuvar çalışmaları ile, yarı-iletken devre elemanı ve yükselteçlerin çalışma prensipleri ve özelliklerinin pekiştirilmesi. 3.000",Undergraduate level ENS 203 Minimum Grade of D,,EE 200 EE 202R Prerequisites: Undergraduate level ENS 203 Minimum Grade of D
EE 202R,Electronic Circuits II - Recitation,202,"Fall, Spring",Electronic Circuits II - Recitation Elektronik Devreler II - Problem Çözümü 0.000,,,EE 202
EE 301,Electromagnetics II,301,"Fall, Spring","Electromagnetics II Electromagnetic induction, Maxwell's equations, wave propagation in free space, guides, reflections from perfect conducting and from dielectric interfaces, resonators/ antennas. Foundation for rf/microwave engineering. Elektromanyetik II Elektromanyetik indüksiyon, Maxwell denklemleri, boşlukta dalga yayılımı, dalga kılavuzları, iletken ve yalıtkan materyallerden yansımalar, rezonatör ve antenler. Radyo frekans/ Mikrodalga mühendisliği temelleri. 3.000",Undergraduate level ENS 201 Minimum Grade of D,,EE 301R Prerequisites: Undergraduate level ENS 201 Minimum Grade of D
EE 301R,Electromagnetics II - Recitation,301,"Fall, Spring",Electromagnetics II - Recitation Elektromanyetik II - Problem Çözümü 0.000,,,EE 301
EE 302,Digital Integrated Circuits,302,"Fall, Spring","Digital Integrated Circuits Overview of metal-oxide semiconductor (MOS) device technologies for large scale integrated (LSI) circuits; inverter circuits, static and transient operation; complementary metal-oxide semiconductor (CMOS) logic implementation, full-custom gate design, mask layout fundamentals; static and dynamic logic circuits; sequential logic circuit designs; non-volatile semiconductor memory structures; static and dynamic random access memory design principles. Sayısal Tümleşik Devreler Yüksek ölçekli tümleşik (LSI) devreler için metal-oksit yarıiletken (MOS) teknolojisine genel bakış; evirici devrelerinin statik ve zamana bağlı çalışmaları; eşlenik metal-oksit yarıiletken (CMOS) mantık devrelerinin gerçeklenmesi; tam özel mantık kapıları tasarımı; maske yerleşim temelleri; statik ve dinamik mantık devreleri; ardışık mantık devreleri tasarımı; yarıiletken kalıcı bellek yapıları; statik ve dinamik rastgele erişimli bellek tasarım ilkeleri. 3.000",Undergraduate level EL 202 Minimum Grade of D or Undergraduate level EE 202 Minimum Grade of D,,EE 302L EE 302R Prerequisites: Undergraduate level EL 202 Minimum Grade of D or Undergraduate level EE 202 Minimum Grade of D
EE 302L,Digital Integrated Circuits - Lab.,302,"Fall, Spring",Digital Integrated Circuits - Lab. Sayısal Tümleşik Devreler - Laboratuvar 0.000,,,EE 302 EE 302R
EE 302R,Digital Integrated Circuits - Recitation,302,"Fall, Spring",Digital Integrated Circuits - Recitation Sayısal Tümleşik Devreler - Problem Çözümü 0.000,,,EE 302 EE 302L
EE 303,Analog Integrated Circuits,303,"Fall, Spring","Analog Integrated Circuits DC, Small-signal and high-frequency design and analysis of CMOS amplifier topologies, including cascode and differential amplifiers; bias circuits; output circuits; active loads; stability and feedback; Noise; multi-stage amplifiers; application examples of CMOS analog integrated circuits: comparators, active filters, signal wave-form generators, etc.; design and verify CMOS analog circuits by using computer aided tools / Cadence. Analog Tümleşik Devreler Fark-Yükselteci ve Kaskod Yükselteçlerinde dahil olduğu, CMOS yükselteç uygulalamalarının DC-düşük-sinyal ve yüksek-frekans tasarım ve analizlerinin gerçeklenmesi; Besleme devreleri; çıkış devreleri; aktif yükler; kararlılık ve geri besleme; gürültü; çok katlı yükselteçler; Değişik CMOS Analog Entegre Devre Uygulamaları: karşılaştırma devresi, aktif filtreler, sinyal üreteçleri, gibi.; Cadence tasarım ve simulasyon ortamında, Analog Entegre Devrelerin gerçeklenmesi. 3.000",Undergraduate level EL 202 Minimum Grade of D or Undergraduate level EE 202 Minimum Grade of D,,EE 303R Prerequisites: Undergraduate level EL 202 Minimum Grade of D or Undergraduate level EE 202 Minimum Grade of D
EE 303R,Analog Integrated Circuits - Recitation,303,"Fall, Spring",Analog Integrated Circuits - Recitation Analog Tümleşik Devreler - Problem Çözümü 0.000,,,EE 303
EE 306,Introduction to Radio Frequency and Microwave Design,306,"Fall, Spring","Introduction to Radio Frequency and Microwave Design Electromagnetic wave propagation, transmission line theory microwave transmission systems, passive components, microwave tubes, solid state microwave devices, microwave integrated circuits, S-parameter analysis, microstrip and coplanar lines transmission lines. Radyo Frekansı ve Mikrodalga Tasarımına Giriş Elektromagnetik dalga yayılımı, iletim hatları kuramı, mikrodalga iletim sistemleri, pasif devre öğeleri, mikrodalga tüpleri, katı hal mikrodalga aygıtları, mikrodalga tümleşik devreleri, S-parametre analizi, mikroşerit ve ortak düzlemli iletim hatları. 3.000",Undergraduate level ENS 201 Minimum Grade of D and Undergraduate level EE 200 Minimum Grade of D and Undergraduate level EE 202 Minimum Grade of D,,EE 306R Prerequisites: Undergraduate level ENS 201 Minimum Grade of D and Undergraduate level EE 200 Minimum Grade of D and Undergraduate level EE 202 Minimum Grade of D
EE 306R,Introduction to Radio Frequency and Microwave Design-Recitation,306,"Fall, Spring",Introduction to Radio Frequency and Microwave Design-Recitation Radyo Frek.&Mikrodalga Tasarım. Giriş-Prob. Çöz. 0.000,,,EE 306
EE 307,Semiconductor Physics and Devices,307,"Fall, Spring","Semiconductor Physics and Devices This course begins with a substantive treatment of the fundamental behavior of semiconductor materials and moves on to the semiconductor diode, the bipolar transistor, and field-effect transistor devices. Building upon these concepts, their operations, biasing, small- and large-signal models are analyzed. Laboratory exercises are provided to reinforce the theory of operation of these devices. Yarıiletken Fiziği ve Devreleri Yarıiletken malzemelerin temel davranışlarının yüzeysel olarak işlenmesiyle başlar, yarıiletken diyot, iki kutuplu tranzistör ve alan etkili tranzistörlerin incelenmesiyle devam eder. Bu bilgilerden sonra bu elemanların çalışması, kutuplanması, büyük ve küçük işaret modelleri incelenir. Bu devrelerin kuramsal çalışmalarının daha iyi anlaşılması için deneyler yapılır. 3.000",Undergraduate level ENS 203 Minimum Grade of D,,EE 307R Prerequisites: Undergraduate level ENS 203 Minimum Grade of D
EE 307R,Semiconductor Physics and Devices-Recitation,307,"Fall, Spring",Semiconductor Physics and Devices-Recitation Yarıiletken Fiziği ve Devreleri-Problem Çözümü 0.000,,,EE 307
EE 308,Microcomputer Based System Design,308,"Fall, Spring","Microcomputer Based System Design Introduction to hardware and software design of microcomputer systems. Basic working principles of microprocessors, memory and I/O devices, bus interconnections, assembly language programming, integration of hardware and software design. Serial communications, parallel interfacing, interrupts and interupt handlers, timing analysis and delay handling in microcomputer circuits. A term project involving the design and implementation of a self-contained microcomputer system for a specific purpose (i.e., embedded system) will be assigned, in addition to regular software/hardware lab assignments. Mikroişlemci Tabanlı Sistem Tasarımı Mikrobilgisayar sistemlerinde donanım ve yazılım tasarımına giriş. Mikroişlemcilerin temel çalışma ilkeleri, hafıza ve giriş/çıkış birimleri, veriyolu arabağlantıları, çevirici dili programlama, donanım ve yazılım tasarımlarının tümleştirilmesi. Seri iletişim, paralel arabirimler, kesme (interrupt) kavramı ve kesme işleyicileri, mikrobilgisayar devrelerinde zamanlama analizi ve gecikme sorunlarının çözümleri. Öğrenciler, düzenli olarak verilecek yazılım ve donanım ödevlerini yapmakla yükümlü olacaklar; ayrıca, belirli bir amaca yönelik kendi kendine yeterli bir mikrobilgisayar tabanlı sistemin (gömülü sistem) tasarım ve gerçeklenmesini kapsayan bir dönemlik proje yapacaklardır. 4.000",Undergraduate level CS 303 Minimum Grade of D,,EE 308L EE 308R Prerequisites: Undergraduate level CS 303 Minimum Grade of D
EE 308L,Microcomputer Based System Design - Lab.,308,"Fall, Spring",Microcomputer Based System Design - Lab. Mikroişlemci Tabanlı Sistem Tasarımı- Laboratuvar 0.000,,,EE 308 EE 308R
EE 308R,Microcomputer Based System Design - Recitation,308,"Fall, Spring",Microcomputer Based System Design - Recitation Mikroişlemci Tabanlı Sistem Tasarımı- Prob. Çözümü 0.000,,,EE 308 EE 308L
EE 310,Hardware Description Languages,310,"Fall, Spring","Hardware Description Languages Introduction to hardware description languages; VHDL fundamentals, behavioral and structural models; syntax and basic rules; design entry; behavioral simulation; logic synthesis and synthesizeable code development; design mapping to standard cells and/or field programmable gate array (FPGA). Donanım Tanımlama Dilleri Donanım tanımlama dillerine giriş; VHDL temelleri, davranışsal ve yapısal modeller; yazım ve temel kurallar; tasarım girişi; davranışsal benzeşim; mantık devreleri sentezi ve sentezlenebilir kod geliştirme; tasarımın standart hücrelerle ve/veya alan programlanabilir kapı dizileriyle (FPGA) örtüştürülmesi. 3.000",Undergraduate level CS 303 Minimum Grade of D,,EE 310L Prerequisites: Undergraduate level CS 303 Minimum Grade of D
EE 310L,Hardware Description Languages-Lab.,310,"Fall, Spring",Hardware Description Languages-Lab. Donanım Tanımlama Dilleri-Laboratuvar 0.000,,,EE 310
EE 311,Introduction to Signal Processing and Information Systems,311,"Fall, Spring","Introduction to Signal Processing and Information Systems Discrete-time Fourier transform. Discrete-time processing of continuous-time signals. Basic communication concepts, modulation, AM, FM, pulse amplitude modulation. Laplace transform, system response. Z-transform. Systems characterized by differential and difference equations. Control systems and feedback. Uncertainty and randomness in signals and systems. Sinyal İşleme ve Bilgi Sistemlerine Giriş Ayrık zamanlı Fourier dönüşümü. Sürekli zamanlı sinyallerin ayrık zamanlı işlenmesi. Temel iletişim kavramları, kiplenim, AM, FM, darbe genlik kiplenimi, Laplace dönüşümü, sistem tepkisi. Z dönüşümü. Türevsel ve farksal denklemlerle tanımlanan sistemler. Denetim sistemleri ve geribesleme. Sinyaller ve sistemlerde belirsizlik ve rasgelelik. 3.000",Undergraduate level ENS 211 Minimum Grade of D,,EE 311R Prerequisites: Undergraduate level ENS 211 Minimum Grade of D
EE 311R,Introduction to Signal Processing and Information Systems-Recitation,311,"Fall, Spring",Introduction to Signal Processing and Information Systems-Recitation Sinyal İşleme ve Bilgi Sistemlerine Giriş-Problem Çözme 0.000,,,EE 311
EE 312,Discrete-Time Signals and Systems,312,"Fall, Spring","Discrete-Time Signals and Systems Review of linear discrete-time systems and sampled and discrete-time signals; Fourier analysis, discrete and fast Fourier transforms; interpolation and decimation; design of infinite-impulse response and finite impulse response filters. introduction to real time processing using Digital Signal Processors (DSP) chips. Kesikli-Zaman İşaret ve Sistemleri Doğrusal kesikli-zaman sistemleri, örneklenmiş ve kesikli- zaman işaretlerinin gözden geçirilmesi; Fourier analizi, kesikli ve hızlı Fourier dönüşümleri, enterpolasyon ve indirgeme, IIR ve FIR filtrelerinin tasarımı. DSP yongaları kullanarak gerçek zaman işlemesine giriş. 3.000",Undergraduate level ENS 211 Minimum Grade of D,,EE 312R Prerequisites: Undergraduate level ENS 211 Minimum Grade of D
EE 312R,Discrete-Time Signals and Systems - Recitation,312,"Fall, Spring",Discrete-Time Signals and Systems - Recitation Kesikli-Zaman İşaret ve Sistemleri-Prob. Çöz. 0.000,,,EE 312
EE 313,Introduction to Communication Systems,313,"Fall, Spring",Introduction to Communication Systems Analog and digital modulation and demodulation theory. Review of probability theory and stochastic processes. Statistical characterization of noise and communication channels. Performance of communication systems in the presence of noise. Komünikasyon Sistemlerine Giriş Analog and sayısal modülasyon ve demodülasyon teorisi. Olasılık teorisi ve stokastik prosesler. Komünikasyon kanalları ve gürültünün istatiksel karakterlendirilmesi. Komünikasyon sistemlerinin gürültü ortamında performansı. 3.000,Undergraduate level ENS 211 Minimum Grade of D,,EE 313R Prerequisites: Undergraduate level ENS 211 Minimum Grade of D
EE 313R,Introduction to Communication Systems - Recitation,313,"Fall, Spring",Introduction to Communication Systems - Recitation Komünikasyon Sistemlerine Giriş-Prob.Çöz. 0.000,,,EE 313
